sku	name	weight	height	width	depth
5035883000705	SleepDoctor Oral Device	0	0	0	0
5035883000743	SleepDoctor Oral Strips 14 Pack	0	0	0	0
5035883000682	SleepDoctor Throat Spray 23.5ml	0	0	0	0
/731788155926	JAX Mens Leakproof Boxer Extra Large	0	0	0	0
/731788155933	JAX Mens Leakproof Boxer XX Large	0	0	0	0
9353965010579	b.box 360 Cup Emerald Forest	0	0	0	0
9353965010548	b.box 360 Cup Ocean Breeze	0	0	0	0
9353965010555	b.box 360 Cup Strawberry Shake	0	0	0	0
9329224002241	Dermal Therapy Lip Balm Original Stick 4.8g	0	0	0	0
9369999622121	Franjos Kitchen Motherhood Hydration Powder 150g	0	0	0	0
9316542149178	Natio Extreme Volume Smudge Proof Mascara Black	0	0	0	0
9316542149185	Natio Extreme Volume Smudge Proof Mascara Brown	0	0	0	0
9316542149208	Natio Infinite Tubing Mascara Black	0	0	0	0
9316542149253	Natio Miracle Lash Twist Brush Mascara Black	0	0	0	0
9316542149222	Natio Precision Tubing Mascara Brown	0	0	0	0
649191001009	Kolorex Vaginal Care Wash 250ml	0	0	0	0
/5021807005086	New Nordic Hair Volume Repair Mask 300ml	0	0	0	0
